tile_name,patch_file,lon_center,lat_center
8602837_3334180.tif,8602111.4923_3333683.3468.png,8602111.49230469,3333683.3468371136
8602837_3334180.tif,8602417.2404_3333683.3468.png,8602417.24041779,3333683.3468371136
8602837_3334180.tif,8602722.9885_3333683.3468.png,8602722.988530887,3333683.3468371136
8602837_3334180.tif,8603028.7366_3333683.3468.png,8603028.736643985,3333683.3468371136
8602837_3334180.tif,8603334.4848_3333683.3468.png,8603334.484757084,3333683.3468371136
8602837_3334180.tif,8603640.2329_3333683.3468.png,8603640.23287018,3333683.3468371136
8602837_3334180.tif,8603945.9810_3333683.3468.png,8603945.98098328,3333683.3468371136
8602837_3334180.tif,8604175.2921_3333683.3468.png,8604175.292068101,3333683.3468371136
8602837_3334180.tif,8601499.9961_3333377.5987.png,8601499.996078495,3333377.5987240155
8602837_3334180.tif,8601805.7442_3333377.5987.png,8601805.744191594,3333377.5987240155
8602837_3334180.tif,8602111.4923_3333377.5987.png,8602111.49230469,3333377.5987240155
8602837_3334180.tif,8602417.2404_3333377.5987.png,8602417.24041779,3333377.5987240155
8602837_3334180.tif,8602722.9885_3333377.5987.png,8602722.988530887,3333377.5987240155
8602837_3334180.tif,8603028.7366_3333377.5987.png,8603028.736643985,3333377.5987240155
8602837_3334180.tif,8603334.4848_3333377.5987.png,8603334.484757084,3333377.5987240155
8602837_3334180.tif,8603640.2329_3333377.5987.png,8603640.23287018,3333377.5987240155
8602837_3334180.tif,8603945.9810_3333377.5987.png,8603945.98098328,3333377.5987240155
8602837_3334180.tif,8604175.2921_3333377.5987.png,8604175.292068101,3333377.5987240155
8602837_3334180.tif,8601499.9961_3333071.8506.png,8601499.996078495,3333071.8506109174
8602837_3334180.tif,8601805.7442_3333071.8506.png,8601805.744191594,3333071.8506109174
8602837_3334180.tif,8602111.4923_3333071.8506.png,8602111.49230469,3333071.8506109174
8602837_3334180.tif,8602417.2404_3333071.8506.png,8602417.24041779,3333071.8506109174
8602837_3334180.tif,8602722.9885_3333071.8506.png,8602722.988530887,3333071.8506109174
8602837_3334180.tif,8603028.7366_3333071.8506.png,8603028.736643985,3333071.8506109174
8602837_3334180.tif,8603334.4848_3333071.8506.png,8603334.484757084,3333071.8506109174
8602837_3334180.tif,8603640.2329_3333071.8506.png,8603640.23287018,3333071.8506109174
8602837_3334180.tif,8603945.9810_3333071.8506.png,8603945.98098328,3333071.8506109174
8602837_3334180.tif,8604175.2921_3333071.8506.png,8604175.292068101,3333071.8506109174
8602837_3334180.tif,8601499.9961_3332842.5395.png,8601499.996078495,3332842.539526094
