tile_name,lon_center,lat_center
8602837_3334180.tif,8602417.24041779,3334600.591176407
8602837_3334180.tif,8602722.988530887,3334600.591176407
8602837_3334180.tif,8603028.736643985,3334600.591176407
8602837_3334180.tif,8603334.484757084,3334600.591176407
8602837_3334180.tif,8603640.23287018,3334600.591176407
8602837_3334180.tif,8603945.98098328,3334600.591176407
8602837_3334180.tif,8604175.292068101,3334600.591176407
8602837_3334180.tif,8601499.996078495,3334294.843063309
8602837_3334180.tif,8601805.744191594,3334294.843063309
8602837_3334180.tif,8602111.49230469,3334294.843063309
8602837_3334180.tif,8602417.24041779,3334294.843063309
8602837_3334180.tif,8602722.988530887,3334294.843063309
8602837_3334180.tif,8603028.736643985,3334294.843063309
8602837_3334180.tif,8603334.484757084,3334294.843063309
8602837_3334180.tif,8603640.23287018,3334294.843063309
8602837_3334180.tif,8603945.98098328,3334294.843063309
8602837_3334180.tif,8604175.292068101,3334294.843063309
8602837_3334180.tif,8601499.996078495,3333989.0949502112
8602837_3334180.tif,8601805.744191594,3333989.0949502112
8602837_3334180.tif,8602111.49230469,3333989.0949502112
